Date,Open,High,Low,Close,Volume,Award Amount,Company Name,Delta % Close - Open,Delta % High - Low
2024-09-23,36.86,38.19,36.57,37.95,78850151.0,0,PALANTIR TECHNOLOGIES INC.,2.9571351058057607,4.429860541427392
2024-09-20,36.01,37.29,35.71,37.2,450290538.0,0,PALANTIR TECHNOLOGIES INC.,3.304637600666495,4.424530943713241
2024-09-19,37.0,37.35,36.2,36.83,59882041.0,0,PALANTIR TECHNOLOGIES INC.,-0.45945945945946404,3.1767955801104932
2024-09-18,35.9,37.11,35.8712,36.38,66279770.0,0,PALANTIR TECHNOLOGIES INC.,1.3370473537604568,3.4534668480563724
2024-09-17,37.0,37.05,35.87,36.45,64461751.0,0,PALANTIR TECHNOLOGIES INC.,-1.4864864864864789,3.2896570950655137
2024-09-16,35.78,36.92,35.56,36.31,74767329.0,0,PALANTIR TECHNOLOGIES INC.,1.481274455002798,3.824521934758154
2024-09-13,34.97,36.01,34.89,35.59,49727172.0,0,PALANTIR TECHNOLOGIES INC.,1.7729482413497415,3.2100888506735386
2024-09-12,34.86,35.4,34.5308,34.91,54391843.0,0,PALANTIR TECHNOLOGIES INC.,0.14343086632242444,2.517173074472643
2024-09-11,34.01,34.87,33.62,34.85,68302252.0,0,PALANTIR TECHNOLOGIES INC.,2.4698618053513774,3.7180249851279004
2024-09-10,34.81,35.2,33.71,34.76,91720986.0,0,PALANTIR TECHNOLOGIES INC.,-0.1436368859523248,4.420053396618219
2024-09-09,32.7,34.7,32.47,34.6,140582494.0,"$18,686,187",PALANTIR TECHNOLOGIES INC.,5.810397553516815,6.8678780412688765
2024-09-06,30.6,31.04,29.5,30.33,50946777.0,0,PALANTIR TECHNOLOGIES INC.,-0.8823529411764808,5.220338983050844
2024-09-05,30.24,30.74,30.01,30.16,24012331.0,0,PALANTIR TECHNOLOGIES INC.,-0.26455026455025893,2.4325224925024886
2024-09-04,30.0,30.85,29.31,30.59,32838886.0,0,PALANTIR TECHNOLOGIES INC.,1.9666666666666661,5.254179460934845
2024-09-03,31.35,31.5892,30.165,30.51,34531596.0,0,PALANTIR TECHNOLOGIES INC.,-2.6794258373205735,4.721365821316104
2024-08-30,31.05,31.5,30.7,31.48,42388023.0,0,PALANTIR TECHNOLOGIES INC.,1.3848631239935578,2.605863192182413
2024-08-29,30.65,31.82,30.484,31.0,39732985.0,0,PALANTIR TECHNOLOGIES INC.,1.1419249592169705,4.382626951843585
2024-08-28,30.62,30.8,29.75,30.36,33961370.0,0,PALANTIR TECHNOLOGIES INC.,-0.8491182233834147,3.529411764705885
2024-08-27,30.55,31.12,30.38,30.84,23541256.0,0,PALANTIR TECHNOLOGIES INC.,0.9492635024549891,2.4358130348913827
